Id	Name	NotIdentifiedName 	Notes
21	조잡한 단검	단검	"이 무른 강철 단검은 무기일 뿐만 아니라 절삭 도구이자 식사 도구로도 사용될 수 있으며, 날카롭게 갈리는 데는 성공하지만 조금만 사용해도 날이 무뎌집니다."
22	수정 단검	단검	"이 단검은 주로 네크로맨서 길드 구성원들이 휴대합니다. 칼날에 사용된 수정은 섀도스파이어 산맥에서 발견됩니다. 매우 날카롭지만 쉽게 깨지는 경향이 있습니다."
23	상인의 단검	단검	이 단검은 알바르의 무기 제작자들이 만든 전형적인 예입니다. 경화강으로 만들어졌으며 균형감이 뛰어납니다.
24	달인의 단검	단검	"이처럼 뛰어난 품질의 단검은 정말 드뭅니다. 귀하고 값진 목재로 만들어지고 금으로 마감되었으며 큼직한 루비가 박힌 이 단검은, 만약 그토록 효과적인 무기가 아니었다면 부유한 사람들의 사치품으로 여겨졌을 것입니다."
25	송곳니 칼날	단검	이 칼의 손잡이는 여러 번 감싼 흔적이 역력하다. 이런 칼은 대침묵의 시대가 도래하기 수천 년 전에 나타난 최초의 뱀파이어들이 사용했다고 한다. 혹시 이 칼도 그 고대 무기 중 하나일까?
26	장단검	장단검	"검과 단검의 중간 길이의 날을 가진 이 무기는 좀 더 긴 사거리를 원하는 나이프 파이터를 위해 제작되었습니다. 이 특정 무기는 연질강으로 만들어져 제작 솜씨가 다소 떨어집니다."
27	알바르 포이나드	장단검	"알바르의 많은 사교 모임에서는 검을 소지하는 것이 부적절하다고 여겨집니다. 엘프 전사들은 상황이 격해질 경우를 대비해 작은 칼을 휴대하는 것이 일반적입니다."
28	레그나 전투 단검	장단검	"방패에 얽매이는 것을 원치 않았던 많은 레그나 해적들은 한 손에는 커틀러스를, 다른 한 손에는 이처럼 짧은 칼을 들고 싸웁니다."
29	황혼의 크리스	장단검	최고급 강철로 만들어진 이 물결 모양의 긴 단검은 황혼의 무기 장인들이 제작한 작품입니다. 박쥐 날개 모양의 손잡이 보호대에는 붉은 루비가 박혀 있어 뱀파이어의 무기임을 나타냅니다.
30	결투용 장단검	장단검	"겉으로는 단결된 모습을 보이지만, 섀도스파이어의 뱀파이어들 사이에는 심각한 내부 갈등이 존재합니다. 관례에 따라, 매우 심각한 갈등은 정교하게 제작된 이 치명적인 검을 사용한 결투로 해결됩니다."
31	돌도끼	도끼	"불에 달궈 단단하게 만든 막대기를 날카로운 돌에 묶은 것에 불과한 이 조잡한 도구들은 형편없는 도구이자 무기가 된다."
32	전투 손도끼	도끼	"말을 탄 기사들이 보조 무기로 흔히 휴대하는 전투용 도끼는 일부 기사들이 검 대신 도끼만 휴대하는 경우도 있다."
33	전투 도끼	도끼	이 무거운 도끼는 한 손으로 들고 갑옷을 입은 적과 입지 않은 적 모두에게 사용할 수 있도록 제작되었습니다.
34	드워프 전투 도끼	도끼	"자다메 암흑 드워프의 대장장이들은 에라시아의 대장장이들만큼 숙련되지는 않았지만, 시중에서 구할 수 있는 대부분의 제품보다 뛰어난 품질의 물건을 만들어냅니다."
35	미노타우로스 전투 도끼	도끼	"미노타우로스가 오우거와의 전쟁을 위해 만든 이 도끼는 비밀 합금 배합으로 제작되었습니다. 날카로운 날은 쉽게 무뎌지지 않고, 더욱 날카롭게 만들기는 어렵습니다."
36	양손 도끼	양손 도끼	"이 투박한 도끼는 나무를 다듬는 도구인 동시에 무기이기도 하며, 여전히 강력한 일격을 가할 수 있습니다."
37	보병의 도끼	양손 도끼	"갑옷을 쪼갤 수 있는 이 양손 도끼는 기마 기사와 맞서는 병사들 사이에서 인기가 높습니다."
38	미노타우로스 전투 도끼	양손 도끼	이 양손 도끼는 그 엄청난 무게를 감당할 수 있는 힘을 가진 미노타우로스들이 흔히 사용합니다.
39	정예 미노타우로스 도끼	양손 도끼	"이처럼 뛰어난 솜씨로 만들어진 도끼는 미노타우로스 성지를 지키는 정예 전사 집단인 '검은 뿔'의 구성원들에게만 지급됩니다."
40	미노타우로스 목동의 도끼	양손 도끼	미노타우로스 유목민들은 뛰어난 균형감각과 정교한 솜씨로 만들어진 이 파괴적인 전쟁 도끼를 휘두르며 군대를 이끌고 전투에 나선다.
41	오우거 전투봉	창	"불에 달궈 단단하게 만들고 가시로 촘촘히 갈아 날카롭게 만든 이러한 창은 오우거 병사들이 훈련과 기본 전투 훈련에 사용합니다. "
42	강철 창	창	"기본적인 창은 많은 종족의 무기고에 비축되어 있는데, 그럴 만한 이유가 있습니다. 창은 효과적이고 치명적인 무기이기 때문입니다. 이 창은 미노타우로스의 것입니다."
43	엘프 장창	창	이 합금강 창날의 정교한 제작 기술과 균형감은 알바르의 무기 장인들이 만든 것임을 보여줍니다.
44	전투 창	창	"이 창은 전투를 위해 만들어졌습니다. 너무 무거워서 일반 병사가 휘두르기에는 부적합하며, 다른 무기보다 창을 선호하는 전문 전사를 위해 제작되었습니다."
45	드래곤 작살	창	"이 무기의 등 쪽으로 뾰족하게 솟은 강철 날은 가장 오래된 용에게조차 치명적인 피해를 입히도록 설계되었습니다. 당연히 창술사들은 모든 적을 처치하는 데 이 무기를 선택합니다."
46	급조한 불지	미늘창	이 단순한 장창은 농기구의 날을 조잡하게 만든 창에 붙여서 만든 것으로 보인다.
47	미늘창	미늘창	"도끼와 창의 장점을 결합한 다재다능한 무기인 할버드는 대형 전투와 개별 근접 전투 모두에 적합하도록 설계되었습니다."
48	부리날 미늘창	미늘창	이 개량형 할버드는 도끼날의 반대쪽에 뾰족한 날이 있어 균형을 잡아주고 판금 갑옷을 관통할 수 있도록 설계되었습니다.
49	미노타우로스 원정용 장대도끼	미늘창	"미노타우로스가 멀리 떨어진 보리의 서리 거인들과 전쟁을 벌일 때, 미노타우로스의 왕 발타자르는 병사들을 무장시키기 위해 이 창을 제작하도록 명했다. 그는 ""오랜 시간 동안 전쟁터에 나가 있어야 하니, 다용도로 쓸 수 있는 무기를 주어라""라고 말했다고 전해진다."
50	미궁 갈고리	미늘창	미노타우로스는 신성한 미궁에 침입자가 들어오는 것을 극도로 꺼린다. 이는 미궁 경비병들을 위해 제작된 무기에 쏟은 정성에서 잘 드러난다.
51	건초용 쇠스랑	삼지창	"이 건초 포크는 흔한 농기구이지만, 견고한 구조로 되어 있어 즉석에서 무기로 사용하기에도 훌륭한 도구가 될 수 있습니다."
52	보병용 쇠스랑	삼지창	"보병과 기마병, 갑옷을 입은 적 사이의 전투력을 균형 있게 조절하기 위해 고안된 이 개량형 창은 다소 투박하지만 효과적인 무기입니다."
53	리자드맨 삼지창	삼지창	단검상섬의 대장장이들은 다양한 종류의 창날을 제작합니다. 이 삼지창은 그중에서도 가장 특이한 디자인 중 하나입니다. 뾰족한 가시가 직선 찌르기 공격 시 추가적인 피해를 입힙니다.
54	레그나 삼지창	삼지창	레그나의 어떤 배도 삼지창을 가득 싣지 않고는 항구를 떠나지 않는다. 그들의 갤리선에 대한 승선 공격은 삼지창으로 이루어진 견고한 방어벽을 뚫고 성공하기 어렵다.
55	트리톤 삼지창	삼지창	이 삼지창을 처음 손에 쥐었을 때 가장 먼저 눈에 띄는 것은 만져보면 비정상적으로 차갑다는 점입니다. 두 번째로 드는 생각은 용거북 뼈로 만들어진 날카로운 가지들이 마치 보이지 않는 손에 이끌리듯 목표물의 방어벽에 있는 약점을 찾아내려는 듯한 느낌입니다.
56	사냥용 활	활	이 활들은 구조가 간단하고 가벼워서 작은 사냥감을 잡는 데 적합하며, 직접적인 전투용은 아닙니다. 
57	곡궁	활	곡선형 활대는 궁수가 일반적인 활보다 더 무거운 활을 당길 수 있게 해줍니다. 당기는 힘이 더 강해지면 화살 속도가 빨라져 사거리와 위력이 증가합니다.
58	뱀나무 활	활	"엔로스의 인간 병사들은 그 지역의 토종 뱀나무로 만든 활을 사용합니다. 강하고 유연한 이 나무는 튼튼한 활을 만드는 데 적합합니다."
59	엘프 전쟁 활	활	"알바르의 활 제작자들은 나무, 강철, 뼈를 겹겹이 쌓아 올려 완벽한 균형, 강도, 정확도를 갖춘 활을 만들어냅니다. 이 과정은 많은 시간과 기술, 그리고 값비싼 재료를 필요로 하기 때문에 이 활들이 높은 가격에 거래되는 것입니다."
60	데빌본 활	활	다크 엘프 활 제작자들은 크리건족 척추의 특이한 특성 덕분에 이 재료가 무거운 활대를 만드는 데 가장 적합하다는 것을 발견했습니다. 교묘하게 설계된 복합 도르래 시스템 덕분에 초인적인 힘을 가진 자가 아니더라도 이 강력한 무기를 끌어당길 수 있습니다.
61	경량 석궁	석궁	"사용이 간편하기 때문에 이러한 석궁은 전국의 민병대 무기고에 비축되어 있습니다. 하지만 당기는 힘이 약하고 제작 기술이 조악하여 효율성은 그다지 높지 않습니다."
62	핏방울 석궁	석궁	"가볍고 품질이 우수한 이 석궁은 홈이 파인 활대, 기본적인 조준기, 그리고 부드럽게 작동하는 방아쇠 너트를 특징으로 합니다."
63	사냥용 석궁	석궁	"야외 사용을 위해 제작된 이 중형 석궁은 사냥용으로 설계되었지만, 전투 무기로서도 동일하게 효과적입니다."
64	대상단원의 석궁	석궁	알바르의 상인들은 대상 호위병들이 잘 무장되어 있는 것을 선호합니다. 이 정교하게 제작된 중형 석궁은 크랭크식 장전 장치를 갖추고 있습니다.
65	레그나 석궁	석궁	레그나 섬의 해적들은 수 세기 동안 석궁 설계를 완성하는 데 매진해 왔습니다. 그 결과 탄생한 무기는 수정 렌즈 조준경과 순수 강철로 만들어진 활대를 갖추고 있는데, 만약 에루딘 합금으로 만든 크랭크식 활시위가 없었다면 활을 당기는 것 자체가 불가능했을 것입니다.
66	튼튼한 철퇴	철퇴	"일반 곤봉보다 약간 개선된 철퇴는 균형이 더 잘 잡혀 있고 내구성이 뛰어나며 더 큰 피해를 입힐 수 있습니다."
67	도리깨	도리깨	"같은 이름을 가진 농기구에서 유래했지만, 도리깨는 긴 사거리와 강력한 타격력 덕분에 무시무시한 무기가 되었습니다."
68	신전 철퇴	철퇴	정교하게 제작된 이 철퇴의 머리 부분을 둘러싼 햇살 모양의 코로나는 태양 신전 성직자들의 헌신적인 신앙심을 상징하며, 동시에 철퇴의 공격력을 크게 증가시킵니다. 
69	고위 성직자의 홀	철퇴	"이 정교하게 제작된 철퇴는 무기이면서 동시에 직위를 상징하는 물건으로, 태양 사원의 핵심 사제들이 휴대합니다. 화려하게 장식된 자루와는 달리, 금박을 입힌 강철 철퇴는 뛰어난 위력을 자랑합니다."
70	트롤의 전쟁 철퇴	철퇴	"대부분의 종족들이 날카로운 무기를 개발하는 데 집중해 온 반면, 트롤들은 언제나 단순한 둔기를 정교하게 다듬는 데 만족해 왔다. 강철 합금 한 덩어리로 단조된 이 잔혹한 무기는 그들의 장인 정신을 보여주는 최고의 걸작이다."
71	대형 망치	망치	"이 망치는 무기라기보다는 건설 도구에 가깝다. 하지만 다소 서툴더라도 상당한 타격을 줄 수 있다."
72	야전 망치	망치	이 망치는 땅에 쓰러진 장갑 적을 마무리 짓기 위해 설계된 보조 보병 무기입니다.
73	전투 망치	망치	"이 무기는 야전 망치의 개량형으로, 더 무겁고 균형이 잘 잡혀 있으며 내구성도 뛰어납니다. 휘두르려면 상당한 힘이 필요하지만, 갑옷을 입은 적과 입지 않은 적 모두에게 공포감을 조성합니다."
74	태양의 망치	망치	"태양신도들은 날이 있는 무기를 사용하는 것이 금지되어 있습니다. 그들이 이처럼 정교한 전투망치를 휴대하는 것은 이러한 금지의 자연스러운 결과입니다. 신앙심의 표현으로, 전투망치의 타격면에는 태양 상징의 반전된 이미지가 새겨져 있습니다."
75	트롤 대형 망치	망치	이 무기의 완벽한 그립감과 균형감을 제대로 느끼려면 직접 다뤄봐야 합니다. 망치 머리는 하나의 광물 결정으로 조각되었습니다. 트롤족 무기 제작자들은 평생에 걸쳐 놀라운 경도를 유지하면서도 쉽게 깨지지 않는 망치 머리를 만들어내는 기술을 연마합니다.
76	가시 곤봉	곤봉	"짧은 쇠못이 박힌 나무 머리와 손잡이로 이루어진 이 단순한 곤봉의 가장 큰 장점은 주변에서 구할 수 있는 재료로 만들 수 있다는 점입니다."
77	가시나무 곤봉	곤봉	철모래사막의 트롤들은 가시나무의 엄청나게 질긴 뿌리 부분을 불에 구워 단단하게 만들어 이 곤봉을 만듭니다.
78	지배자의 곤봉	곤봉	트롤 부족의 족장은 결투를 통해 자리를 쟁취해야 합니다. 승자는 자신의 곤봉을 권력의 상징으로 간직하게 되며, 패자의 곤봉은 종종 무기 시장으로 흘러들어갑니다.
79	여행 지팡이	지팡이	자다메 여행자는 수많은 위험에 직면합니다. 전투에 그다지 관심이 없는 사람조차도 어떤 형태로든 무기를 휴대합니다. 이 철제 지팡이는 흔히 선택되는 무기 중 하나입니다.
80	구체 지팡이	지팡이	이 지팡이의 꼭대기에는 광택이 나는 터키석 장식이 달려 있어 더욱 강렬한 인상을 줍니다.
81	사제의 지팡이	지팡이	"정교하게 장식된 이 지팡이는 도마뱀 인간의 수공예품입니다. 이국적인 가죽으로 감싸고 청동으로 만든 받침과 타격봉으로 마감된 이 지팡이는 도마뱀 인간 사제들이 신분의 상징으로 지니고 다닙니다."
82	뱀 지팡이	지팡이	"이 희귀한 지팡이들은 다루기 힘들어 보일지 모르지만, 마법의 산물입니다. 전투에서 이 지팡이들은 동물적인 지력으로 휘둘러지며 목표물의 방어를 뚫고 일격을 가합니다."
83	뼈 지팡이	지팡이	와이번의 척추뼈로 만들어지고 용의 하단 가시판으로 장식된 이 지팡이는 강령술 무기 제작의 산물입니다. 이러한 치명적인 무기 중 강력한 마법이 걸려 있지 않은 것을 찾는 것은 드문 일입니다.
84	가죽 상의	가죽 갑옷	"두껍고 유연한 가죽에 황동 장식이 박힌 이 갑옷은 타격으로부터 최소한의 보호만 제공합니다."
85	강화 가죽 조끼	가죽 갑옷	이 가죽 갑옷은 강화된 보호 기능을 제공하기 위해 제작되었습니다. 착용감이 편안하고 가볍지만, 신체 전체를 덮어주는 범위는 좁습니다.
86	대상단원의 가죽 갑옷	가죽 갑옷	"이 갑옷은 알바르 상인 대상 행렬을 호위하는 사람들이 가장 흔히 착용하는 종류입니다. 단단하고 내부 보강재가 있는 흉갑은 질기면서도 유연한 가죽으로 만든 속옷을 감싸고 있어, 착용자에게 전신 보호 기능을 제공하면서도 움직임을 최소한으로 제한합니다."
87	레그나 가죽 갑옷	가죽 갑옷	"겉보기에는 너무 얇아서 제대로 된 보호력을 제공하지 못할 것 같지만, 레그나가 설계한 이 갑옷은 미묘한 마법이 걸려 있어 가죽이 거의 강철처럼 단단해집니다. 또한, 비밀 공정을 통해 염수 부식에도 강합니다."
88	알바르 가죽 갑옷	가죽 갑옷	이 최고급 가죽 갑옷은 알바르 갑옷 제작자 길드에서 생산하는 최상급 제품입니다. 강철 합금으로 마감된 패널은 사실상 뚫을 수 없으며, 정교한 맞물림 구조 덕분에 착용자는 탁월한 움직임의 자유를 누릴 수 있습니다.
89	녹슨 사슬 조끼	사슬 갑옷	이 부식된 고리형 사슬 갑옷 조끼는 전성기를 훨씬 지났습니다. 여러 곳이 현장에서 수선되었고, 심지어 사슬 두건에서 떼어낸 얇은 사슬 조각을 덧붙인 부분도 있습니다.
90	강철 사슬 갑옷	사슬 갑옷	튼튼한 강철로 제작된 이 갑옷은 여러 군대의 일반 보병들이 착용하는 갑옷의 종류입니다.
91	미노타우로스 사슬 갑옷	사슬 갑옷	"원래 미노타우로스가 보리 원정을 위해 제작했던 이 사슬 갑옷은 뛰어난 보호력과 정교한 구조로 다른 종족들 사이에서도 인기를 얻었습니다. 이제 발타자르 은신처의 갑옷 장인들은 돈만 있다면 누구든 원하는 사이즈로 이 사슬 갑옷을 제작할 수 있습니다."
92	시에르탈 사슬 갑옷	사슬 갑옷	알바르의 다크 엘프들은 시에르탈 합금 제조법을 철저히 비밀에 부치고 있다. 이 금속으로 만든 사슬 갑옷은 가벼우면서도 가장 단단한 칼날도 휘어지게 할 수 있다.
93	에루딘 사슬 갑옷	사슬 갑옷	"알바르 갑옷 제작자 길드의 또 다른 걸작인 이 판금 및 사슬 갑옷 혼합 세트는 시에르탈 합금으로 제작되었으며, 에루딘 마감 처리된 최고급 소재에 걸맞은 장인 정신이 깃들어 있습니다."
94	녹슨 흉갑	판금 갑옷	더 큰 갑옷에서 떼어낸 이 판금 갑옷 조각은 너무 심하게 부식되어 전사의 장비인지 아니면 고철상에 버려야 할 고철인지조차 의문스럽다.
95	띠형 판금 갑옷	판금 갑옷	"이 사슬 및 판금 흉갑은 강철 띠로 몸통 중앙부를 덮고 있습니다. 연속적으로 성형된 판금보다 가볍고 제작이 간단하지만, 더 무거운 판금 갑옷에 비해 보호력은 떨어집니다."
96	미노타우로스 판금 갑옷	판금 갑옷	"발타자르 은신처의 미노타우로스 갑옷 제작자들이 만든 작품의 한 예인 이 판금 갑옷은 몸통을 훌륭하게 보호합니다. 팔은 미노타우로스 전통 방식대로 자유롭게 움직일 수 있습니다."
97	흑기사 판금 갑옷	판금 갑옷	"펠트와 붉은 벨벳으로 안감을 덧대고 에나멜과 금박으로 장식했지만, 이 갑옷은 전시용 작품은 아닙니다. 시에르탈 합금판은 가볍지만 매우 단단해서 정교한 세공 기술을 가진 도구로 가공되었음이 분명합니다."
98	드래곤 판금 갑옷	판금 갑옷	"자다메에서는 에루딘 판금 갑옷 제작 기술이 알려져 있지 않습니다. 사실, 이 갑옷은 평생을 바쳐 유명한 화이트 라이트 제련소를 건설한 에라시아 출신의 명장 갑옷 제작자 데릭 고레스만이 만들 수 있습니다."
99	트롤 방패	대형 방패	"트롤족이 만든 단순한 나무 방패로, 그 디자인은 갑옷 제작 기술을 배우는 견습생들이 흔히 모방하는 것이다."
100	가시나무 방패	대형 방패	"가시나무 심재로 만들어지고 철로 테두리가 둘러진 이 방패는 튼튼하지만 다소 무겁습니다."
101	레그나 토너먼트 방패	대형 방패	"레그나 사람들은 10개월마다 성대한 축제를 개최하는데, 이 축제에는 무술 대회가 포함됩니다. 귀족 출신 참가자들은 가볍지만 자신을 보호할 만큼 튼튼한 방패를 제작하는 데 아낌없이 투자합니다."
102	베테랑 방패	대형 방패	"에라시아의 마족 전쟁에서 인간들은 오직 에루딘 갑옷만이 적들의 불의 공격을 막아낼 수 있다는 것을 알게 되었습니다. 그리고 조금씩, 이 방패처럼, 그 갑옷의 조각들이 자다메에게 전해졌습니다."
103	드래곤 사냥꾼의 방패	대형 방패	"엔로스의 크리그스파이어 마을은 드래곤 때문에 골머리를 앓고 있었습니다. 이 방패가 바로 그 해결책이었죠. 마법으로 결합된 에루딘, 강철, 히드라 가죽이 겹겹이 쌓여 거의 깨지지 않는 재질을 만들어냈고, 대부분의 드래곤의 브레스 공격에도 견딜 수 있었습니다."
104	나무 소형 방패	소형 방패	이 작은 방패는 무기를 들지 않은 손에 쥐고 있습니다. 사용자는 이 방패의 부족한 방어력을 활용하기 위해 민첩성에 크게 의존해야 합니다.
105	대상단원의 소형 방패	소형 방패	"알바르 상인의 무역로를 따라 이동하는 대상 호위병들은 종종 먼 거리를 걸어서 이동해야 합니다. 이 방패는 다른 장비들과 마찬가지로 잘 만들어졌고 가볍습니다."
106	기병 방패	소형 방패	"기마 기사들이 선호하는 이 강철 방패는 창병의 날카로운 화살촉을 막아낼 만큼 튼튼합니다."
107	해골 방패	소형 방패	강령술사 길드는 언데드 군대를 훌륭하게 무장시키는 것을 좋아합니다. 그들의 정예 보병은 매우 견고한 이 정교한 합금 방패를 휴대합니다.
108	섬뜩한 방패	소형 방패	"알려진 바로는 이 방패는 단 열두 개뿐입니다. 방패 본체는 석탄불처럼 끓어오르는 듯한 합금으로 만들어졌고, 테두리는 칼날을 걸 수 있을 만큼 부드러우면서도 흠집을 내거나 파고들지 않는 또 다른 미지의 금속으로 만들어졌습니다."
109	투구	투구	연철과 경화되지 않은 가죽으로 만들어진 이 모자는 머리에 가해지는 충격으로부터 어느 정도 보호해 줍니다.
110	리자드맨 투구	투구	이런 종류의 철제와 가죽 투구는 전 세계 대장장이들이 제작합니다. 이 투구는 도마뱀 인간이 만든 것으로, 진짜 숫양 뿔로 장식되어 있습니다.
111	전면 투구	투구	이러한 디자인의 강철 투구는 알바르의 상인들이 대량으로 주문하여 기마 대상 호위병들에게 지급합니다.
112	전투용 투구	투구	이 풀 헬멧은 최고급 소재와 정교한 제작 기술로 만들어졌습니다. 눈과 코 부분의 구조적으로 취약한 부위는 시에르탈 소재로 보강되었습니다.
113	드래곤 투구	투구	이 최고급 헬멧의 안면 보호대는 거의 보이지 않는 이음새로 연결되어 있어 닫았을 때 얼굴에 꼭 맞고 얼굴 전체를 완벽하게 덮어줍니다. 아주 정확하게 조준된 공격이 아니면 뚫고 들어갈 가능성은 없습니다.
114	시민 모자	모자	튼튼한 천으로 만든 헐렁한 모자.
115	축제 모자	모자	레그나 사람들은 축제 때 값싼 유리 보석으로 장식된 모자를 씁니다. 그들은 축제를 많이 열기 때문입니다.
116	상인의 모자	모자	"주름 장식이 있는 벨벳 소재의 이 모자는 검은색 토끼털로 안감을 덧대고 가장자리를 마감했으며, 작은 에나멜 메달 장식이 달려 있습니다. "
117	징 박힌 가죽 허리띠	허리띠	가공된 가죽으로 만든 심플한 벨트입니다. 철제 장식이 되어 있으며, 핀으로 고정하는 걸쇠로 여닫을 수 있습니다.
118	튼튼한 허리띠	허리띠	두꺼운 가죽 벨트. 장식과 버클은 황동으로 만들어졌습니다.
119	와이번 가죽 허리띠	허리띠	와이번 가죽은 매우 질기고 구하기 어렵습니다. 섀도스파이어 가죽 세공인들은 이 가죽을 귀하게 여기는데, 무두질하면 검은색이 되기 때문입니다. 검은색은 뱀파이어와 네크로맨서 고객들이 선호하는 색상입니다.
120	강철 허리띠	허리띠	정교하게 제작된 이 벨트는 에나멜 처리된 강철로 만들어졌습니다. 양쪽에 교묘하게 숨겨진 경첩이 두 개 있으며, 뒷면에는 잠금 장치가 있습니다.
121	장인의 허리띠	허리띠	정교하게 제작된 용의 가죽 벨트는 마법을 담는 데 사용됩니다. 이 벨트는 금으로 장식되어 있으며 얇은 시에르탈 띠로 둘러싸여 있습니다.
122	여행자의 망토	망토	염색된 양모로 만든 이 따뜻한 망토는 무기 공격으로부터 약간의 보호 기능도 제공합니다.
123	달의 신전 망토	망토	달의 신전 사제들이 착용하는 가죽 망토를 염색하는 데 사용되는 파란색 염료는 에라시아의 나이곤 산 지역에서만 자라는 잎사귀 모양의 꽃잎에서 추출됩니다.
124	알바르 망토	망토	"알바르에서 제작된 이 정도 품질의 망토는 알바르 상인 길드의 부유한 구성원들이 자주 착용하는 것을 볼 수 있습니다."
125	강령술사 망토	망토	이 망토는 분명 흑마술사를 위해 만들어진 것이다. 정교한 이 망토는 어두운 은색 실로 신비로운 문양이 수놓아져 있다.
126	뱀파이어 망토	망토	"목깃이 높이 솟은 이 새까만 와이번 가죽 망토는 붉은 벨벳 안감으로 되어 있는데, 이는 섀도스파이어의 나이든 뱀파이어들이 매우 선호하는 스타일이다."
127	가죽 장갑	건틀릿	제대로 가공되지 않은 가죽으로 만든 이 장갑은 전 세계 노동자들이 착용합니다.
128	트롤 건틀릿	건틀릿	트롤족이 만든 이 가죽 장갑은 손가락 마디 부분에 철제 스파이크가 박혀 있습니다.
129	강철 건틀릿	건틀릿	"경첩으로 연결된 강철판으로 만들어진 이 장갑은 뛰어난 보호 기능을 제공하지만, 손가락을 조이는 경향이 있습니다."
130	미노타우로스 건틀릿	건틀릿	시에르탈 합금 소재로 제작된 이 장갑은 가볍고 견고합니다. 뛰어난 제작 기술 덕분에 착용감이 편안하고 유연합니다.
131	십자군의 건틀릿	건틀릿	이 건틀릿은 순수한 에루딘으로 정교하게 제작되었으며, 데릭 고레스의 화이트 라이트 포지워크에서 만들어진 제품임을 나타냅니다.
132	여행 장화	장화	"전투보다는 편안함을 위해 제작된 이 부드러운 가죽 부츠는 진흙과 날카로운 돌로부터 발을 잘 보호해 주지만, 무기 공격을 막아낼 용도는 아닙니다."
133	강화 가죽 장화	장화	이 부츠는 가죽을 강화하여 내구성을 높였습니다. 두꺼운 밑창과 부드러운 가죽으로 된 얇은 안감이 특징입니다.
134	레그나 장화	장화	이 강철 덧댄 부츠는 레그나 전사들이 흔히 착용하는 것입니다. 가죽 부분은 방수 처리가 되어 있습니다.
